Participant	Frame	Preview	Sign	Pre_Target_Skip	FFD_ms	GD_ms	TRT_ms	Reading_Scores	AOA	Group
2	13	SIGN	LM	0	257	257	648	387	0	Deaf
2	14	UNR	Unrelated	0	192	192	192	387	0	Deaf
2	15	COR	Identical	1	126	246	730	387	0	Deaf
2	16	SIGN	LM	0	306	306	306	387	0	Deaf
2	17	UNR	Unrelated	0	117	117	819	387	0	Deaf
2	18	COR	Identical	0	NA	NA	0	387	0	Deaf
2	19	SIGN	LM	0	256	256	256	387	0	Deaf
2	20	UNR	Unrelated	0	NA	NA	0	387	0	Deaf
2	21	COR	Identical	0	110	110	518	387	0	Deaf
2	22	SIGN	HL	0	359	359	359	387	0	Deaf
2	23	UNR	Unrelated	1	94	94	324	387	0	Deaf
2	24	COR	Identical	0	186	186	186	387	0	Deaf
2	25	SIGN	HL	0	132	132	557	387	0	Deaf
2	26	UNR	Unrelated	0	236	435	435	387	0	Deaf
2	27	COR	Identical	0	NA	NA	0	387	0	Deaf
2	28	SIGN	HL	0	175	175	175	387	0	Deaf
2	29	UNR	Unrelated	0	162	162	162	387	0	Deaf
2	30	COR	Identical	0	72	72	459	387	0	Deaf
2	31	SIGN	HL	0	210	210	210	387	0	Deaf
2	32	UNR	Unrelated	0	152	152	498	387	0	Deaf
2	33	COR	Identical	0	182	182	1024	387	0	Deaf
2	34	SIGN	HL	1	246	246	246	387	0	Deaf
2	35	UNR	Unrelated	0	244	244	474	387	0	Deaf
2	36	COR	Identical	0	NA	NA	0	387	0	Deaf
2	37	SIGN	HLM	0	195	195	271	387	0	Deaf
2	38	UNR	Unrelated	1	284	284	438	387	0	Deaf
2	39	COR	Identical	0	152	152	337	387	0	Deaf
2	40	SIGN	HL	0	122	122	299	387	0	Deaf
2	41	UNR	Unrelated	0	178	178	396	387	0	Deaf
2	42	COR	Identical	0	241	241	944	387	0	Deaf
2	43	SIGN	HM	0	206	206	499	387	0	Deaf
2	44	UNR	Unrelated	0	186	387	599	387	0	Deaf
2	45	COR	Identical	0	237	237	237	387	0	Deaf
2	46	SIGN	HM	0	410	410	410	387	0	Deaf
