"Participant"	"Frame"	"Preview"	"Sign"	"Pre_Target_Skip"	"FFD_ms"	"GD_ms"	"TRT_ms"	"Group"
206	68	"SIGN"	"HLM"	0	182	418	736	"Hearing"
209	68	"SIGN"	"HLM"	0	461	461	570	"Hearing"
212	68	"SIGN"	"HLM"	0	187	722	722	"Hearing"
215	68	"SIGN"	"HLM"	0	205	318	647	"Hearing"
221	68	"SIGN"	"HLM"	0	116	116	423	"Hearing"
224	68	"SIGN"	"HLM"	0	220	356	983	"Hearing"
227	68	"SIGN"	"HLM"	0	207	386	386	"Hearing"
230	68	"SIGN"	"HLM"	0	220	220	375	"Hearing"
203	68	"SIGN"	"HLM"	0	835	952	1140	"Hearing"
204	69	"SIGN"	"HL"	0	202	202	779	"Hearing"
207	69	"SIGN"	"HL"	0	NA	NA	0	"Hearing"
210	69	"SIGN"	"HL"	0	279	279	279	"Hearing"
213	69	"SIGN"	"HL"	0	164	164	895	"Hearing"
216	69	"SIGN"	"HL"	0	212	212	212	"Hearing"
219	69	"SIGN"	"HL"	0	273	273	433	"Hearing"
222	69	"SIGN"	"HL"	1	171	171	171	"Hearing"
225	69	"SIGN"	"HL"	1	253	253	523	"Hearing"
228	69	"SIGN"	"HL"	0	159	159	635	"Hearing"
201	69	"SIGN"	"HL"	1	190	388	388	"Hearing"
205	70	"SIGN"	"HLM"	1	306	306	903	"Hearing"
208	70	"SIGN"	"HLM"	0	NA	NA	0	"Hearing"
211	70	"SIGN"	"HLM"	1	174	1774	2913	"Hearing"
214	70	"SIGN"	"HLM"	0	156	156	156	"Hearing"
217	70	"SIGN"	"HLM"	0	684	684	684	"Hearing"
220	70	"SIGN"	"HLM"	0	298	298	479	"Hearing"
223	70	"SIGN"	"HLM"	0	166	330	560	"Hearing"
226	70	"SIGN"	"HLM"	0	344	964	964	"Hearing"
229	70	"SIGN"	"HLM"	0	218	218	542	"Hearing"
202	70	"SIGN"	"HLM"	0	147	147	147	"Hearing"
218	71	"SIGN"	"HLM"	0	465	465	465	"Hearing"
206	71	"SIGN"	"HLM"	0	207	370	529	"Hearing"
209	71	"SIGN"	"HLM"	0	124	731	731	"Hearing"
212	71	"SIGN"	"HLM"	0	950	950	950	"Hearing"
215	71	"SIGN"	"HLM"	0	307	692	1022	"Hearing"
221	71	"SIGN"	"HLM"	0	193	193	619	"Hearing"
224	71	"SIGN"	"HLM"	0	210	210	1508	"Hearing"
227	71	"SIGN"	"HLM"	0	466	466	589	"Hearing"
230	71	"SIGN"	"HLM"	0	119	119	119	"Hearing"
203	71	"SIGN"	"HLM"	0	263	476	612	"Hearing"
204	72	"SIGN"	"HLM"	0	138	138	291	"Hearing"
207	72	"SIGN"	"HLM"	0	159	159	537	"Hearing"
210	72	"SIGN"	"HLM"	0	172	172	361	"Hearing"
213	72	"SIGN"	"HLM"	0	279	496	496	"Hearing"
216	72	"SIGN"	"HLM"	1	183	183	706	"Hearing"
219	72	"SIGN"	"HLM"	0	279	279	709	"Hearing"
222	72	"SIGN"	"HLM"	0	191	191	361	"Hearing"
225	72	"SIGN"	"HLM"	0	238	238	1015	"Hearing"
228	72	"SIGN"	"HLM"	0	138	138	661	"Hearing"
201	72	"SIGN"	"HLM"	0	163	163	163	"Hearing"
205	73	"SIGN"	"LM"	0	156	269	1066	"Hearing"
208	73	"SIGN"	"LM"	0	116	116	251	"Hearing"
211	73	"SIGN"	"LM"	0	461	461	1961	"Hearing"
214	73	"SIGN"	"LM"	0	163	163	163	"Hearing"
217	73	"SIGN"	"LM"	0	562	562	562	"Hearing"
220	73	"SIGN"	"LM"	0	341	544	544	"Hearing"
223	73	"SIGN"	"LM"	0	291	374	374	"Hearing"
226	73	"SIGN"	"LM"	0	226	226	1076	"Hearing"
229	73	"SIGN"	"LM"	0	91	91	242	"Hearing"
202	73	"SIGN"	"LM"	0	301	301	301	"Hearing"
218	74	"SIGN"	"HLM"	0	161	161	433	"Hearing"
206	74	"SIGN"	"HLM"	0	239	387	815	"Hearing"
209	74	"SIGN"	"HLM"	0	129	251	251	"Hearing"
212	74	"SIGN"	"HLM"	1	671	671	671	"Hearing"
215	74	"SIGN"	"HLM"	0	374	585	1335	"Hearing"
221	74	"SIGN"	"HLM"	0	22	22	562	"Hearing"
224	74	"SIGN"	"HLM"	0	218	218	507	"Hearing"
227	74	"SIGN"	"HLM"	0	371	677	677	"Hearing"
230	74	"SIGN"	"HLM"	0	394	394	1380	"Hearing"
203	74	"SIGN"	"HLM"	0	645	645	1395	"Hearing"
204	75	"SIGN"	"HLM"	0	724	724	866	"Hearing"
207	75	"SIGN"	"HLM"	0	284	284	467	"Hearing"
210	75	"SIGN"	"HLM"	0	398	398	570	"Hearing"
213	75	"SIGN"	"HLM"	0	166	206	206	"Hearing"
216	75	"SIGN"	"HLM"	0	179	907	907	"Hearing"
219	75	"SIGN"	"HLM"	1	174	174	174	"Hearing"
222	75	"SIGN"	"HLM"	0	291	291	291	"Hearing"
225	75	"SIGN"	"HLM"	0	226	226	524	"Hearing"
228	75	"SIGN"	"HLM"	0	164	164	355	"Hearing"
201	75	"SIGN"	"HLM"	0	279	279	382	"Hearing"
205	76	"SIGN"	"HLM"	0	133	133	1413	"Hearing"
208	76	"SIGN"	"HLM"	0	169	169	296	"Hearing"
211	76	"SIGN"	"HLM"	0	473	2404	3002	"Hearing"
214	76	"SIGN"	"HLM"	1	201	569	569	"Hearing"
217	76	"SIGN"	"HLM"	0	220	220	220	"Hearing"
220	76	"SIGN"	"HLM"	0	176	176	533	"Hearing"
223	76	"SIGN"	"HLM"	0	292	292	682	"Hearing"
226	76	"SIGN"	"HLM"	0	278	278	278	"Hearing"
229	76	"SIGN"	"HLM"	0	555	887	887	"Hearing"
202	76	"SIGN"	"HLM"	0	223	623	623	"Hearing"
218	77	"SIGN"	"HLM"	0	247	247	247	"Hearing"
206	77	"SIGN"	"HLM"	0	676	814	2847	"Hearing"
209	77	"SIGN"	"HLM"	0	394	394	525	"Hearing"
212	77	"SIGN"	"HLM"	0	563	563	894	"Hearing"
215	77	"SIGN"	"HLM"	0	236	236	393	"Hearing"
221	77	"SIGN"	"HLM"	0	140	287	287	"Hearing"
224	77	"SIGN"	"HLM"	0	368	768	768	"Hearing"
227	77	"SIGN"	"HLM"	0	565	611	611	"Hearing"
230	77	"SIGN"	"HLM"	0	299	299	299	"Hearing"
203	77	"SIGN"	"HLM"	0	277	371	599	"Hearing"
204	78	"SIGN"	"HLM"	0	142	365	563	"Hearing"
207	78	"SIGN"	"HLM"	0	272	375	375	"Hearing"
210	78	"SIGN"	"HLM"	0	157	456	456	"Hearing"
213	78	"SIGN"	"HLM"	0	226	461	461	"Hearing"
216	78	"SIGN"	"HLM"	0	235	581	581	"Hearing"
219	78	"SIGN"	"HLM"	0	140	140	724	"Hearing"
222	78	"SIGN"	"HLM"	1	236	236	236	"Hearing"
225	78	"SIGN"	"HLM"	0	188	188	188	"Hearing"
228	78	"SIGN"	"HLM"	1	161	354	1937	"Hearing"
201	78	"SIGN"	"HLM"	0	165	497	497	"Hearing"
205	79	"SIGN"	"HL"	1	279	279	908	"Hearing"
208	79	"SIGN"	"HL"	0	128	128	342	"Hearing"
211	79	"SIGN"	"HL"	0	488	488	1464	"Hearing"
214	79	"SIGN"	"HL"	0	216	396	1589	"Hearing"
217	79	"SIGN"	"HL"	0	263	263	263	"Hearing"
220	79	"SIGN"	"HL"	0	259	412	412	"Hearing"
223	79	"SIGN"	"HL"	0	197	197	197	"Hearing"
226	79	"SIGN"	"HL"	0	235	943	943	"Hearing"
229	79	"SIGN"	"HL"	0	568	568	1465	"Hearing"
202	79	"SIGN"	"HL"	0	577	577	1265	"Hearing"
218	80	"SIGN"	"HLM"	0	339	339	538	"Hearing"
206	80	"SIGN"	"HLM"	1	219	1222	2522	"Hearing"
209	80	"SIGN"	"HLM"	1	210	210	210	"Hearing"
212	80	"SIGN"	"HLM"	0	283	283	373	"Hearing"
215	80	"SIGN"	"HLM"	0	404	571	571	"Hearing"
221	80	"SIGN"	"HLM"	0	537	824	944	"Hearing"
224	80	"SIGN"	"HLM"	0	255	255	255	"Hearing"
227	80	"SIGN"	"HLM"	0	205	407	407	"Hearing"
230	80	"SIGN"	"HLM"	0	220	220	357	"Hearing"
203	80	"SIGN"	"HLM"	0	124	124	124	"Hearing"
218	41	"SIGN"	"HM"	0	187	187	187	"Hearing"
206	41	"SIGN"	"HM"	0	244	369	610	"Hearing"
209	41	"SIGN"	"HM"	0	161	478	478	"Hearing"
212	41	"SIGN"	"HM"	0	246	246	427	"Hearing"
215	41	"SIGN"	"HM"	0	438	688	688	"Hearing"
221	41	"SIGN"	"HM"	0	143	143	143	"Hearing"
224	41	"SIGN"	"HM"	0	478	1315	1551	"Hearing"
227	41	"SIGN"	"HM"	1	209	499	736	"Hearing"
230	41	"SIGN"	"HM"	1	188	462	462	"Hearing"
203	41	"SIGN"	"HM"	0	563	729	846	"Hearing"
204	42	"SIGN"	"HM"	0	478	478	826	"Hearing"
207	42	"SIGN"	"HM"	0	224	224	224	"Hearing"
210	42	"SIGN"	"HM"	0	198	478	478	"Hearing"
213	42	"SIGN"	"HM"	0	211	211	394	"Hearing"
216	42	"SIGN"	"HM"	0	203	203	670	"Hearing"
219	42	"SIGN"	"HM"	0	163	163	306	"Hearing"
222	42	"SIGN"	"HM"	0	191	191	328	"Hearing"
225	42	"SIGN"	"HM"	0	253	854	1282	"Hearing"
228	42	"SIGN"	"HM"	0	155	599	599	"Hearing"
201	42	"SIGN"	"HM"	0	192	192	520	"Hearing"
205	43	"SIGN"	"HM"	0	152	325	1018	"Hearing"
208	43	"SIGN"	"HM"	0	102	102	102	"Hearing"
211	43	"SIGN"	"HM"	0	185	185	1865	"Hearing"
214	43	"SIGN"	"HM"	0	134	134	463	"Hearing"
217	43	"SIGN"	"HM"	0	288	288	288	"Hearing"
220	43	"SIGN"	"HM"	0	452	452	765	"Hearing"
223	43	"SIGN"	"HM"	1	211	316	316	"Hearing"
226	43	"SIGN"	"HM"	1	533	959	959	"Hearing"
229	43	"SIGN"	"HM"	0	182	182	536	"Hearing"
202	43	"SIGN"	"HM"	0	550	550	1401	"Hearing"
218	44	"SIGN"	"HM"	0	242	242	242	"Hearing"
206	44	"SIGN"	"HM"	0	265	532	1706	"Hearing"
209	44	"SIGN"	"HM"	0	124	124	602	"Hearing"
212	44	"SIGN"	"HM"	0	402	882	1451	"Hearing"
215	44	"SIGN"	"HM"	0	356	483	483	"Hearing"
221	44	"SIGN"	"HM"	0	75	75	75	"Hearing"
224	44	"SIGN"	"HM"	0	241	241	493	"Hearing"
227	44	"SIGN"	"HM"	1	440	554	554	"Hearing"
230	44	"SIGN"	"HM"	0	119	119	119	"Hearing"
203	44	"SIGN"	"HM"	0	268	683	683	"Hearing"
204	45	"SIGN"	"HM"	0	540	540	540	"Hearing"
207	45	"SIGN"	"HM"	0	266	266	266	"Hearing"
210	45	"SIGN"	"HM"	0	156	156	305	"Hearing"
213	45	"SIGN"	"HM"	0	157	157	1010	"Hearing"
216	45	"SIGN"	"HM"	0	524	524	710	"Hearing"
219	45	"SIGN"	"HM"	0	637	637	3038	"Hearing"
222	45	"SIGN"	"HM"	0	129	129	263	"Hearing"
225	45	"SIGN"	"HM"	0	156	156	1361	"Hearing"
228	45	"SIGN"	"HM"	0	264	355	518	"Hearing"
201	45	"SIGN"	"HM"	0	186	186	706	"Hearing"
205	46	"SIGN"	"HM"	0	526	769	1313	"Hearing"
208	46	"SIGN"	"HM"	0	188	188	188	"Hearing"
211	46	"SIGN"	"HM"	0	990	990	1981	"Hearing"
214	46	"SIGN"	"HM"	0	142	142	490	"Hearing"
217	46	"SIGN"	"HM"	0	403	602	602	"Hearing"
220	46	"SIGN"	"HM"	0	294	294	294	"Hearing"
223	46	"SIGN"	"HM"	0	200	200	441	"Hearing"
226	46	"SIGN"	"HM"	0	369	729	729	"Hearing"
229	46	"SIGN"	"HM"	0	376	728	728	"Hearing"
202	46	"SIGN"	"HM"	0	64	247	247	"Hearing"
218	47	"SIGN"	"HM"	0	291	537	537	"Hearing"
206	47	"SIGN"	"HM"	1	599	599	1355	"Hearing"
209	47	"SIGN"	"HM"	1	191	544	1038	"Hearing"
212	47	"SIGN"	"HM"	0	516	1605	1605	"Hearing"
215	47	"SIGN"	"HM"	1	172	565	737	"Hearing"
221	47	"SIGN"	"HM"	0	173	173	291	"Hearing"
224	47	"SIGN"	"HM"	0	329	594	763	"Hearing"
227	47	"SIGN"	"HM"	1	439	655	655	"Hearing"
230	47	"SIGN"	"HM"	1	336	336	336	"Hearing"
203	47	"SIGN"	"HM"	1	434	951	951	"Hearing"
204	48	"SIGN"	"HM"	1	494	494	762	"Hearing"
207	48	"SIGN"	"HM"	1	233	233	626	"Hearing"
210	48	"SIGN"	"HM"	1	236	236	503	"Hearing"
213	48	"SIGN"	"HM"	1	148	148	148	"Hearing"
216	48	"SIGN"	"HM"	0	159	159	682	"Hearing"
219	48	"SIGN"	"HM"	0	230	230	304	"Hearing"
222	48	"SIGN"	"HM"	0	312	312	585	"Hearing"
225	48	"SIGN"	"HM"	0	154	154	360	"Hearing"
228	48	"SIGN"	"HM"	1	238	441	633	"Hearing"
201	48	"SIGN"	"HM"	0	304	470	470	"Hearing"
205	49	"SIGN"	"HM"	1	233	436	2249	"Hearing"
208	49	"SIGN"	"HM"	0	NA	NA	0	"Hearing"
211	49	"SIGN"	"HM"	0	397	1114	2240	"Hearing"
214	49	"SIGN"	"HM"	0	258	258	346	"Hearing"
217	49	"SIGN"	"HM"	0	175	175	419	"Hearing"
220	49	"SIGN"	"HM"	0	282	282	473	"Hearing"
223	49	"SIGN"	"HM"	0	322	322	322	"Hearing"
226	49	"SIGN"	"HM"	0	211	1330	1589	"Hearing"
229	49	"SIGN"	"HM"	0	390	390	561	"Hearing"
202	49	"SIGN"	"HM"	1	NA	NA	0	"Hearing"
218	50	"SIGN"	"HM"	0	416	416	416	"Hearing"
206	50	"SIGN"	"HM"	0	92	92	550	"Hearing"
209	50	"SIGN"	"HM"	0	456	456	522	"Hearing"
212	50	"SIGN"	"HM"	0	194	194	194	"Hearing"
215	50	"SIGN"	"HM"	0	182	599	879	"Hearing"
221	50	"SIGN"	"HM"	0	111	111	376	"Hearing"
224	50	"SIGN"	"HM"	0	221	221	221	"Hearing"
227	50	"SIGN"	"HM"	0	272	272	333	"Hearing"
230	50	"SIGN"	"HM"	0	285	285	285	"Hearing"
203	50	"SIGN"	"HM"	0	194	194	194	"Hearing"
204	51	"SIGN"	"HM"	0	233	233	233	"Hearing"
207	51	"SIGN"	"HM"	0	124	124	1439	"Hearing"
210	51	"SIGN"	"HM"	0	257	257	257	"Hearing"
213	51	"SIGN"	"HM"	0	137	137	137	"Hearing"
216	51	"SIGN"	"HM"	0	232	657	783	"Hearing"
219	51	"SIGN"	"HM"	0	268	268	342	"Hearing"
222	51	"SIGN"	"HM"	0	215	215	416	"Hearing"
225	51	"SIGN"	"HM"	0	235	235	235	"Hearing"
228	51	"SIGN"	"HM"	0	300	300	300	"Hearing"
201	51	"SIGN"	"HM"	0	328	328	328	"Hearing"
205	52	"SIGN"	"HM"	1	180	366	1491	"Hearing"
208	52	"SIGN"	"HM"	0	134	134	134	"Hearing"
211	52	"SIGN"	"HM"	0	453	453	1287	"Hearing"
214	52	"SIGN"	"HM"	1	203	203	397	"Hearing"
217	52	"SIGN"	"HM"	0	197	197	197	"Hearing"
220	52	"SIGN"	"HM"	1	275	275	526	"Hearing"
223	52	"SIGN"	"HM"	0	149	149	394	"Hearing"
226	52	"SIGN"	"HM"	0	224	224	341	"Hearing"
229	52	"SIGN"	"HM"	0	171	171	342	"Hearing"
202	52	"SIGN"	"HM"	0	103	103	342	"Hearing"
218	53	"SIGN"	"HM"	0	319	319	319	"Hearing"
206	53	"SIGN"	"HM"	0	174	340	1055	"Hearing"
209	53	"SIGN"	"HM"	0	203	203	401	"Hearing"
212	53	"SIGN"	"HM"	0	218	450	450	"Hearing"
215	53	"SIGN"	"HM"	0	173	1312	1312	"Hearing"
221	53	"SIGN"	"HM"	0	108	244	244	"Hearing"
224	53	"SIGN"	"HM"	1	336	336	336	"Hearing"
227	53	"SIGN"	"HM"	0	166	495	495	"Hearing"
230	53	"SIGN"	"HM"	1	282	282	638	"Hearing"
203	53	"SIGN"	"HM"	0	116	116	209	"Hearing"
204	54	"SIGN"	"HM"	0	432	432	432	"Hearing"
207	54	"SIGN"	"HM"	0	238	531	531	"Hearing"
210	54	"SIGN"	"HM"	0	289	289	289	"Hearing"
213	54	"SIGN"	"HM"	0	197	197	313	"Hearing"
216	54	"SIGN"	"HM"	0	425	425	425	"Hearing"
219	54	"SIGN"	"HM"	0	136	136	136	"Hearing"
222	54	"SIGN"	"HM"	0	193	193	193	"Hearing"
225	54	"SIGN"	"HM"	0	141	141	344	"Hearing"
228	54	"SIGN"	"HM"	0	159	159	626	"Hearing"
201	54	"SIGN"	"HM"	0	363	363	363	"Hearing"
205	55	"SIGN"	"HM"	0	497	717	1199	"Hearing"
208	55	"SIGN"	"HM"	0	NA	NA	0	"Hearing"
211	55	"SIGN"	"HM"	0	385	385	1900	"Hearing"
214	55	"SIGN"	"HM"	1	288	288	610	"Hearing"
217	55	"SIGN"	"HM"	0	361	859	985	"Hearing"
220	55	"SIGN"	"HM"	0	534	534	1010	"Hearing"
223	55	"SIGN"	"HM"	0	307	456	456	"Hearing"
226	55	"SIGN"	"HM"	0	235	701	701	"Hearing"
229	55	"SIGN"	"HM"	0	238	238	238	"Hearing"
202	55	"SIGN"	"HM"	0	183	509	859	"Hearing"
218	56	"SIGN"	"HM"	0	140	140	750	"Hearing"
206	56	"SIGN"	"HM"	0	548	1888	3063	"Hearing"
209	56	"SIGN"	"HM"	1	464	464	464	"Hearing"
212	56	"SIGN"	"HM"	0	181	181	399	"Hearing"
215	56	"SIGN"	"HM"	0	199	606	892	"Hearing"
221	56	"SIGN"	"HM"	0	249	350	416	"Hearing"
224	56	"SIGN"	"HM"	0	191	191	629	"Hearing"
227	56	"SIGN"	"HM"	0	432	432	432	"Hearing"
230	56	"SIGN"	"HM"	0	174	463	591	"Hearing"
203	56	"SIGN"	"HM"	0	341	341	670	"Hearing"
204	57	"SIGN"	"HM"	0	447	447	757	"Hearing"
207	57	"SIGN"	"HM"	0	363	363	363	"Hearing"
210	57	"SIGN"	"HM"	0	387	410	410	"Hearing"
213	57	"SIGN"	"HM"	0	122	122	369	"Hearing"
216	57	"SIGN"	"HM"	0	158	158	308	"Hearing"
219	57	"SIGN"	"HM"	0	527	527	1470	"Hearing"
222	57	"SIGN"	"HM"	0	299	299	540	"Hearing"
225	57	"SIGN"	"HM"	0	144	144	524	"Hearing"
228	57	"SIGN"	"HM"	0	98	98	680	"Hearing"
201	57	"SIGN"	"HM"	0	748	1104	1104	"Hearing"
205	58	"SIGN"	"HM"	0	231	357	972	"Hearing"
208	58	"SIGN"	"HM"	0	NA	NA	0	"Hearing"
211	58	"SIGN"	"HM"	0	307	684	3750	"Hearing"
214	58	"SIGN"	"HM"	0	367	613	613	"Hearing"
217	58	"SIGN"	"HM"	0	367	367	367	"Hearing"
220	58	"SIGN"	"HM"	1	230	230	697	"Hearing"
223	58	"SIGN"	"HM"	0	160	160	1023	"Hearing"
226	58	"SIGN"	"HM"	0	203	582	582	"Hearing"
229	58	"SIGN"	"HM"	1	337	337	828	"Hearing"
202	58	"SIGN"	"HM"	0	356	584	676	"Hearing"
218	59	"SIGN"	"HM"	0	368	368	676	"Hearing"
206	59	"SIGN"	"HM"	0	158	158	645	"Hearing"
209	59	"SIGN"	"HM"	0	145	270	602	"Hearing"
212	59	"SIGN"	"HM"	0	280	280	280	"Hearing"
215	59	"SIGN"	"HM"	0	139	139	410	"Hearing"
221	59	"SIGN"	"HM"	0	118	242	359	"Hearing"
224	59	"SIGN"	"HM"	0	402	402	834	"Hearing"
227	59	"SIGN"	"HM"	1	625	625	625	"Hearing"
230	59	"SIGN"	"HM"	0	255	255	443	"Hearing"
203	59	"SIGN"	"HM"	0	227	227	511	"Hearing"
204	60	"SIGN"	"HM"	0	220	220	220	"Hearing"
207	60	"SIGN"	"HM"	0	301	301	654	"Hearing"
210	60	"SIGN"	"HM"	0	568	568	1114	"Hearing"
213	60	"SIGN"	"HM"	0	144	144	144	"Hearing"
216	60	"SIGN"	"HM"	0	287	287	287	"Hearing"
219	60	"SIGN"	"HM"	0	184	184	904	"Hearing"
222	60	"SIGN"	"HM"	0	296	296	296	"Hearing"
225	60	"SIGN"	"HM"	0	139	139	699	"Hearing"
228	60	"SIGN"	"HM"	0	85	85	182	"Hearing"
201	60	"SIGN"	"HM"	0	152	152	500	"Hearing"
204	21	"SIGN"	"HL"	0	NA	NA	0	"Hearing"
207	21	"SIGN"	"HL"	0	269	269	330	"Hearing"
210	21	"SIGN"	"HL"	1	152	152	269	"Hearing"
213	21	"SIGN"	"HL"	0	249	523	523	"Hearing"
216	21	"SIGN"	"HL"	1	491	721	721	"Hearing"
219	21	"SIGN"	"HL"	0	385	736	1205	"Hearing"
222	21	"SIGN"	"HL"	0	150	394	394	"Hearing"
225	21	"SIGN"	"HL"	0	148	148	363	"Hearing"
228	21	"SIGN"	"HL"	0	153	153	330	"Hearing"
201	21	"SIGN"	"HL"	0	434	604	604	"Hearing"
205	22	"SIGN"	"HL"	0	171	171	1142	"Hearing"
208	22	"SIGN"	"HL"	0	131	131	191	"Hearing"
211	22	"SIGN"	"HL"	1	641	740	4261	"Hearing"
214	22	"SIGN"	"HL"	0	269	269	269	"Hearing"
217	22	"SIGN"	"HL"	0	338	338	338	"Hearing"
220	22	"SIGN"	"HL"	0	219	490	670	"Hearing"
223	22	"SIGN"	"HL"	0	420	596	779	"Hearing"
226	22	"SIGN"	"HL"	0	197	197	504	"Hearing"
229	22	"SIGN"	"HL"	0	169	169	648	"Hearing"
202	22	"SIGN"	"HL"	0	75	75	75	"Hearing"
218	23	"SIGN"	"HL"	0	NA	NA	0	"Hearing"
206	23	"SIGN"	"HL"	0	325	325	920	"Hearing"
209	23	"SIGN"	"HL"	0	409	490	490	"Hearing"
212	23	"SIGN"	"HL"	0	470	470	1207	"Hearing"
215	23	"SIGN"	"HL"	0	381	554	680	"Hearing"
221	23	"SIGN"	"HL"	0	200	200	346	"Hearing"
224	23	"SIGN"	"HL"	0	159	159	562	"Hearing"
227	23	"SIGN"	"HL"	0	532	532	598	"Hearing"
230	23	"SIGN"	"HL"	0	354	354	1284	"Hearing"
203	23	"SIGN"	"HL"	0	139	139	340	"Hearing"
204	24	"SIGN"	"HL"	0	256	256	304	"Hearing"
207	24	"SIGN"	"HL"	0	164	164	164	"Hearing"
210	24	"SIGN"	"HL"	0	159	159	159	"Hearing"
213	24	"SIGN"	"HL"	0	341	341	506	"Hearing"
216	24	"SIGN"	"HL"	1	403	403	623	"Hearing"
219	24	"SIGN"	"HL"	0	264	405	982	"Hearing"
222	24	"SIGN"	"HL"	0	207	207	360	"Hearing"
225	24	"SIGN"	"HL"	0	140	140	355	"Hearing"
228	24	"SIGN"	"HL"	0	301	301	385	"Hearing"
201	24	"SIGN"	"HL"	1	180	459	459	"Hearing"
205	25	"SIGN"	"HL"	0	408	535	818	"Hearing"
208	25	"SIGN"	"HL"	1	NA	NA	0	"Hearing"
211	25	"SIGN"	"HL"	0	374	374	1953	"Hearing"
214	25	"SIGN"	"HL"	0	200	305	305	"Hearing"
217	25	"SIGN"	"HL"	1	158	158	468	"Hearing"
220	25	"SIGN"	"HL"	0	307	513	513	"Hearing"
223	25	"SIGN"	"HL"	0	174	358	426	"Hearing"
226	25	"SIGN"	"HL"	1	349	927	1171	"Hearing"
229	25	"SIGN"	"HL"	0	180	180	180	"Hearing"
202	25	"SIGN"	"HL"	0	146	146	1199	"Hearing"
218	26	"SIGN"	"HL"	0	161	161	392	"Hearing"
206	26	"SIGN"	"HL"	1	393	393	2029	"Hearing"
209	26	"SIGN"	"HL"	0	213	737	737	"Hearing"
212	26	"SIGN"	"HL"	0	750	750	1577	"Hearing"
215	26	"SIGN"	"HL"	0	173	173	1033	"Hearing"
221	26	"SIGN"	"HL"	0	112	112	112	"Hearing"
224	26	"SIGN"	"HL"	0	316	563	787	"Hearing"
227	26	"SIGN"	"HL"	0	293	293	293	"Hearing"
230	26	"SIGN"	"HL"	0	211	211	854	"Hearing"
203	26	"SIGN"	"HL"	0	294	294	294	"Hearing"
204	27	"SIGN"	"HLM"	0	333	333	333	"Hearing"
207	27	"SIGN"	"HLM"	0	289	289	289	"Hearing"
210	27	"SIGN"	"HLM"	0	423	423	623	"Hearing"
213	27	"SIGN"	"HLM"	0	624	624	2432	"Hearing"
216	27	"SIGN"	"HLM"	0	344	344	815	"Hearing"
219	27	"SIGN"	"HLM"	0	323	323	382	"Hearing"
222	27	"SIGN"	"HLM"	0	170	170	170	"Hearing"
225	27	"SIGN"	"HLM"	0	160	160	279	"Hearing"
228	27	"SIGN"	"HLM"	0	180	313	697	"Hearing"
201	27	"SIGN"	"HLM"	0	456	689	689	"Hearing"
205	28	"SIGN"	"HL"	0	179	179	792	"Hearing"
208	28	"SIGN"	"HL"	0	154	154	154	"Hearing"
211	28	"SIGN"	"HL"	0	126	126	636	"Hearing"
214	28	"SIGN"	"HL"	0	35	175	314	"Hearing"
217	28	"SIGN"	"HL"	0	201	201	426	"Hearing"
220	28	"SIGN"	"HL"	0	544	770	770	"Hearing"
223	28	"SIGN"	"HL"	0	175	318	318	"Hearing"
226	28	"SIGN"	"HL"	0	291	1929	3063	"Hearing"
229	28	"SIGN"	"HL"	0	294	294	456	"Hearing"
202	28	"SIGN"	"HL"	0	133	133	340	"Hearing"
218	29	"SIGN"	"HL"	0	347	491	691	"Hearing"
206	29	"SIGN"	"HL"	1	134	713	1046	"Hearing"
209	29	"SIGN"	"HL"	0	577	577	837	"Hearing"
212	29	"SIGN"	"HL"	0	59	392	662	"Hearing"
215	29	"SIGN"	"HL"	1	163	1191	1459	"Hearing"
221	29	"SIGN"	"HL"	1	154	154	571	"Hearing"
224	29	"SIGN"	"HL"	1	179	581	1334	"Hearing"
227	29	"SIGN"	"HL"	0	190	249	878	"Hearing"
230	29	"SIGN"	"HL"	0	235	506	918	"Hearing"
203	29	"SIGN"	"HL"	0	189	305	1640	"Hearing"
204	30	"SIGN"	"HL"	0	287	287	317	"Hearing"
207	30	"SIGN"	"HL"	0	253	253	448	"Hearing"
210	30	"SIGN"	"HL"	0	179	179	378	"Hearing"
213	30	"SIGN"	"HL"	0	161	322	461	"Hearing"
216	30	"SIGN"	"HL"	0	149	149	382	"Hearing"
219	30	"SIGN"	"HL"	0	166	166	166	"Hearing"
222	30	"SIGN"	"HL"	0	NA	NA	0	"Hearing"
225	30	"SIGN"	"HL"	0	288	653	1146	"Hearing"
228	30	"SIGN"	"HL"	0	428	428	882	"Hearing"
201	30	"SIGN"	"HL"	0	377	377	377	"Hearing"
205	31	"SIGN"	"HL"	0	282	812	1084	"Hearing"
208	31	"SIGN"	"HL"	0	137	137	137	"Hearing"
211	31	"SIGN"	"HL"	0	275	275	2151	"Hearing"
214	31	"SIGN"	"HL"	0	393	393	393	"Hearing"
217	31	"SIGN"	"HL"	0	581	581	581	"Hearing"
220	31	"SIGN"	"HL"	0	190	190	485	"Hearing"
223	31	"SIGN"	"HL"	0	192	192	192	"Hearing"
226	31	"SIGN"	"HL"	0	415	415	1204	"Hearing"
229	31	"SIGN"	"HL"	0	230	550	727	"Hearing"
202	31	"SIGN"	"HL"	0	NA	NA	0	"Hearing"
218	32	"SIGN"	"HL"	0	364	364	364	"Hearing"
206	32	"SIGN"	"HL"	0	429	429	1181	"Hearing"
209	32	"SIGN"	"HL"	0	51	179	179	"Hearing"
